Company,TypeName,Inches,Ram,OpSys,Weight,ScreenResolutionX,ScreenResolutionY,CpuBrand,CpuPower,Memory_SSD (GB),Memory_HDD (GB),Memory_Flash (GB),Price_euros
Apple,Ultrabook,13.3,8.0,macOS,1.37,2560,1600,Intel,2.3,128.0,0.0,0.0,1339.69
Apple,Ultrabook,13.3,8.0,macOS,1.34,1440,900,Intel,1.8,0.0,0.0,128.0,898.94
HP,Notebook,15.6,8.0,No OS,1.86,1920,1080,Intel,2.5,256.0,0.0,0.0,575.0
Apple,Ultrabook,15.4,16.0,macOS,1.83,2880,1800,Intel,2.7,512.0,0.0,0.0,2537.45
Apple,Ultrabook,13.3,8.0,macOS,1.37,2560,1600,Intel,3.1,256.0,0.0,0.0,1803.6
Acer,Notebook,15.6,4.0,Windows 10,2.1,1366,768,AMD,3.0,0.0,500.0,0.0,400.0
Apple,Ultrabook,15.4,16.0,Mac OS X,2.04,2880,1800,Intel,2.2,0.0,0.0,256.0,2139.97
Apple,Ultrabook,13.3,8.0,macOS,1.34,1440,900,Intel,1.8,0.0,0.0,256.0,1158.7
Asus,Ultrabook,14.0,16.0,Windows 10,1.3,1920,1080,Intel,1.8,512.0,0.0,0.0,1495.0
Acer,Ultrabook,14.0,8.0,Windows 10,1.6,1920,1080,Intel,1.6,256.0,0.0,0.0,770.0
HP,Notebook,15.6,4.0,No OS,1.86,1366,768,Intel,2.5,0.0,500.0,0.0,393.9
HP,Notebook,15.6,4.0,No OS,1.86,1920,1080,Intel,2.0,0.0,500.0,0.0,344.99
Apple,Ultrabook,15.4,16.0,macOS,1.83,2880,1800,Intel,2.8,256.0,0.0,0.0,2439.97
Dell,Notebook,15.6,4.0,Windows 10,2.2,1920,1080,Intel,2.0,256.0,0.0,0.0,498.9
Apple,Ultrabook,12.0,8.0,macOS,0.92,2304,1440,Intel,1.2,256.0,0.0,0.0,1262.4
Apple,Ultrabook,13.3,8.0,macOS,1.37,2560,1600,Intel,2.3,256.0,0.0,0.0,1518.55
Dell,Notebook,15.6,8.0,Windows 10,2.2,1920,1080,Intel,2.7,256.0,0.0,0.0,745.0
Apple,Ultrabook,15.4,16.0,macOS,1.83,2880,1800,Intel,2.9,512.0,0.0,0.0,2858.0
Lenovo,Notebook,15.6,8.0,No OS,2.2,1920,1080,Intel,2.4,0.0,1000.0,0.0,499.0
Dell,Ultrabook,13.3,8.0,Windows 10,1.22,1920,1080,Intel,1.6,128.0,0.0,0.0,979.0
Asus,Netbook,11.6,2.0,Windows 10,0.98,1366,768,Intel,1.44,0.0,0.0,32.0,191.9
Lenovo,Gaming,15.6,8.0,Windows 10,2.5,1920,1080,Intel,2.5,128.0,1000.0,0.0,999.0
HP,Notebook,15.6,4.0,No OS,1.86,1366,768,AMD,1.5,0.0,500.0,0.0,258.0
Dell,2 in 1 Convertible,13.3,8.0,Windows 10,1.62,1920,1080,Intel,1.6,256.0,0.0,0.0,819.0
HP,Ultrabook,15.6,8.0,Windows 10,1.91,1920,1080,Intel,1.8,256.0,0.0,0.0,659.0
Dell,Notebook,15.6,4.0,Windows 10,2.3,1366,768,Intel,2.0,0.0,1000.0,0.0,418.64
Apple,Ultrabook,13.3,8.0,Mac OS X,1.35,1440,900,Intel,1.6,0.0,0.0,128.0,1099.0
Dell,Notebook,15.6,8.0,Windows 10,2.2,1920,1080,Intel,1.6,256.0,0.0,0.0,800.0
Dell,Ultrabook,15.6,8.0,Windows 10,1.88,1920,1080,Intel,1.9,256.0,0.0,0.0,1298.0
HP,Notebook,17.3,8.0,Windows 10,2.5,1920,1080,Intel,1.6,0.0,1000.0,0.0,896.0
Chuwi,Notebook,15.6,4.0,Windows 10,1.89,1920,1080,Intel,1.44,0.0,0.0,64.0,244.99
Asus,Notebook,14.0,2.0,Windows 10,1.65,1366,768,AMD,1.5,0.0,0.0,32.0,199.0
HP,Notebook,17.3,4.0,Windows 10,2.71,1920,1080,AMD,2.5,0.0,500.0,0.0,439.0
Dell,Ultrabook,13.3,16.0,Windows 10,1.2,3200,1800,Intel,1.8,512.0,0.0,0.0,1869.0
Apple,Ultrabook,13.3,8.0,Mac OS X,1.35,1440,900,Intel,1.6,0.0,0.0,256.0,998.0
Lenovo,Notebook,14.0,4.0,Windows 10,1.44,1366,768,Intel,1.1,0.0,0.0,64.0,249.0
Acer,Notebook,15.6,4.0,Linux,2.1,1366,768,Intel,2.7,0.0,1000.0,0.0,367.0
Dell,Notebook,17.3,8.0,Windows 10,2.8,1920,1080,Intel,1.6,128.0,1000.0,0.0,979.0
HP,Notebook,15.6,4.0,Windows 10,1.86,1366,768,Intel,2.5,0.0,1000.0,0.0,488.69
HP,Notebook,15.6,8.0,Windows 10,2.1,1920,1080,Intel,1.6,256.0,0.0,0.0,879.0
Asus,Notebook,15.6,4.0,Linux,2.0,1920,1080,Intel,2.0,0.0,1000.0,0.0,389.0
Dell,Gaming,15.6,16.0,Windows 10,2.65,1920,1080,Intel,2.8,256.0,1000.0,0.0,1499.0
Asus,Notebook,15.6,8.0,Linux,2.3,1366,768,Intel,2.5,0.0,1000.0,0.0,522.99
Acer,Notebook,15.6,4.0,Windows 10,2.2,1920,1080,Intel,1.6,256.0,0.0,0.0,682.0
Dell,2 in 1 Convertible,17.3,12.0,Windows 10,2.77,1920,1080,Intel,1.6,0.0,1000.0,0.0,999.0
Apple,Ultrabook,13.3,8.0,macOS,1.37,2560,1600,Intel,2.0,256.0,0.0,0.0,1419.0
Lenovo,Notebook,15.6,4.0,No OS,2.2,1366,768,Intel,2.0,128.0,0.0,0.0,369.0
Asus,Gaming,17.3,8.0,Windows 10,3.2,1920,1080,AMD,3.0,256.0,1000.0,0.0,1299.0
Dell,Notebook,15.6,4.0,Windows 10,2.3,1920,1080,Intel,2.5,256.0,0.0,0.0,639.0
Asus,Notebook,17.3,4.0,Windows 10,2.8,1366,768,Intel,1.1,0.0,1000.0,0.0,466.0
Lenovo,2 in 1 Convertible,10.1,4.0,Android,0.69,1920,1200,Intel,1.44,0.0,0.0,64.0,319.0
Acer,Notebook,15.6,8.0,Windows 10,2.2,1920,1080,Intel,1.8,256.0,0.0,0.0,841.0
HP,Notebook,15.6,4.0,Windows 10,1.86,1920,1080,AMD,2.5,256.0,0.0,0.0,398.49
HP,Notebook,13.3,8.0,Windows 10,1.49,1920,1080,Intel,1.8,512.0,0.0,0.0,1103.0
Acer,Notebook,15.6,4.0,Windows 10,2.4,1366,768,Intel,2.4,0.0,1000.0,0.0,384.0
Dell,Notebook,15.6,8.0,Windows 10,2.13,1920,1080,Intel,1.8,256.0,0.0,0.0,767.8
HP,Notebook,15.6,4.0,Windows 10,1.91,1920,1080,Intel,2.0,128.0,0.0,0.0,439.0
Asus,Notebook,15.6,4.0,Windows 10,2.0,1366,768,Intel,2.5,256.0,0.0,0.0,586.19
MSI,Gaming,17.3,16.0,Windows 10,2.43,1920,1080,Intel,2.8,256.0,2000.0,0.0,2449.0
Asus,Notebook,15.6,4.0,Linux,2.0,1920,1080,Intel,2.0,256.0,0.0,0.0,415.0
Dell,Notebook,17.3,16.0,Windows 10,2.8,1920,1080,Intel,1.8,256.0,2000.0,0.0,1299.0
Dell,Ultrabook,14.0,8.0,Windows 10,1.7,1920,1080,Intel,1.6,256.0,0.0,0.0,879.0
Lenovo,Notebook,14.0,8.0,No OS,1.7,1920,1080,Intel,2.7,256.0,0.0,0.0,599.0
Asus,Notebook,14.0,8.0,Windows 10,1.4,1920,1080,Intel,1.6,256.0,0.0,0.0,941.0
HP,Notebook,15.6,8.0,Windows 10,1.86,1920,1080,Intel,2.5,256.0,0.0,0.0,690.0
Asus,Ultrabook,15.6,16.0,Windows 10,1.8,1920,1080,Intel,2.8,512.0,0.0,0.0,1983.0
HP,Notebook,15.6,4.0,Windows 10,1.86,1366,768,Intel,2.0,0.0,500.0,0.0,438.69
HP,Notebook,14.0,4.0,Windows 10,1.44,1366,768,Intel,1.6,32.0,0.0,0.0,229.0
Lenovo,Notebook,15.6,4.0,Windows 10,1.9,1920,1080,Intel,2.5,0.0,1000.0,0.0,549.0
Asus,Gaming,17.3,12.0,Linux,3.0,1920,1080,Intel,2.8,0.0,1000.0,0.0,949.0
Microsoft,Ultrabook,13.5,4.0,Windows 10 S,1.252,2256,1504,Intel,2.5,128.0,0.0,0.0,1089.0
Dell,Ultrabook,13.3,8.0,Windows 10,1.4,1920,1080,Intel,1.8,256.0,0.0,0.0,955.0
Dell,Notebook,15.6,8.0,Windows 10,2.2,1920,1080,Intel,1.8,256.0,0.0,0.0,870.0
MSI,Gaming,17.3,8.0,Windows 10,2.7,1920,1080,Intel,2.5,128.0,1000.0,0.0,1095.0
Acer,Notebook,14.0,8.0,Windows 10,2.1,1366,768,Intel,2.0,0.0,1000.0,0.0,389.0
Asus,Gaming,15.6,8.0,Windows 10,2.2,1920,1080,Intel,2.8,0.0,1000.0,0.0,949.0
Lenovo,Notebook,15.6,8.0,No OS,2.2,1920,1080,Intel,2.5,0.0,2000.0,0.0,519.0
Dell,Notebook,15.6,8.0,Windows 10,2.02,1920,1080,Intel,1.8,128.0,1000.0,0.0,855.0
Acer,Notebook,15.6,4.0,Windows 10,2.2,1920,1080,Intel,2.7,0.0,1000.0,0.0,530.0
HP,Notebook,17.3,8.0,Windows 10,2.5,1920,1080,Intel,1.6,128.0,1000.0,0.0,977.0
Dell,Ultrabook,15.6,8.0,Windows 10,1.88,1920,1080,Intel,1.6,256.0,0.0,0.0,1096.16
Apple,Ultrabook,12.0,8.0,macOS,0.92,2304,1440,Intel,1.3,512.0,0.0,0.0,1510.0
HP,Notebook,14.0,8.0,Windows 10,1.63,1920,1080,Intel,1.6,256.0,0.0,0.0,860.0
Lenovo,Notebook,15.6,4.0,Windows 10,2.2,1920,1080,AMD,2.5,128.0,0.0,0.0,399.0
Acer,Notebook,15.6,4.0,Windows 10,2.1,1366,768,AMD,3.0,0.0,1000.0,0.0,395.0
Dell,Gaming,15.6,16.0,Windows 10,2.65,1920,1080,Intel,2.8,128.0,1000.0,0.0,1349.0
HP,Ultrabook,15.6,8.0,Windows 10,1.83,1920,1080,Intel,1.8,256.0,0.0,0.0,699.0
HP,Notebook,15.6,8.0,Windows 10,1.96,1920,1080,Intel,2.5,256.0,0.0,0.0,598.99
Asus,Gaming,15.6,16.0,Windows 10,2.2,1920,1080,Intel,2.8,128.0,1000.0,0.0,1449.0
Dell,Ultrabook,13.3,8.0,Windows 10,1.21,1920,1080,Intel,1.8,256.0,0.0,0.0,1649.0
Asus,Gaming,15.6,8.0,Windows 10,2.45,1920,1080,AMD,3.0,0.0,1000.0,0.0,699.0
Acer,Notebook,15.6,8.0,Windows 10,2.2,1920,1080,Intel,1.8,0.0,1000.0,0.0,689.0
HP,Notebook,13.3,16.0,Windows 10,1.49,1920,1080,Intel,1.8,512.0,0.0,0.0,1197.0
Dell,Gaming,15.6,8.0,Windows 10,2.65,1920,1080,Intel,2.5,256.0,0.0,0.0,1195.0
Asus,Ultrabook,14.0,8.0,Windows 10,1.25,1920,1080,Intel,2.7,256.0,0.0,0.0,1049.0
Acer,2 in 1 Convertible,13.3,8.0,Windows 10,1.5,1920,1080,Intel,1.6,256.0,0.0,0.0,847.0
Dell,Notebook,15.6,8.0,Linux,2.2,1920,1080,Intel,2.7,0.0,1000.0,0.0,599.9
Dell,Notebook,15.6,4.0,Linux,2.2,1920,1080,Intel,2.0,256.0,0.0,0.0,485.0
Asus,Notebook,15.6,6.0,Windows 10,2.0,1920,1080,Intel,2.4,256.0,0.0,0.0,577.0
HP,Gaming,15.6,12.0,Windows 10,2.62,1920,1080,Intel,2.8,128.0,1000.0,0.0,1249.0
HP,Notebook,15.6,8.0,Windows 10,1.91,1920,1080,Intel,2.7,256.0,0.0,0.0,719.0
HP,Notebook,15.6,4.0,Windows 10,2.1,1920,1080,AMD,1.5,0.0,500.0,0.0,349.0
Dell,Notebook,15.6,8.0,Linux,2.2,1920,1080,Intel,1.6,0.0,1000.0,0.0,647.0
HP,Ultrabook,13.3,8.0,Windows 10,1.38,1920,1080,Intel,2.7,256.0,0.0,0.0,1119.0
Microsoft,Ultrabook,13.5,8.0,Windows 10 S,1.252,2256,1504,Intel,2.5,256.0,0.0,0.0,1340.0
HP,Notebook,14.0,6.0,Windows 10,1.58,1920,1080,Intel,2.5,256.0,0.0,0.0,659.0
Lenovo,Notebook,15.6,4.0,Windows 10,1.85,1920,1080,Intel,2.0,0.0,1000.0,0.0,414.9
Asus,Ultrabook,14.0,8.0,Windows 10,1.3,1920,1080,Intel,2.7,256.0,0.0,0.0,1193.0
MSI,Gaming,15.6,16.0,Windows 10,2.2,1920,1080,Intel,2.8,256.0,1000.0,0.0,1299.0
Lenovo,Notebook,14.0,8.0,Windows 10,1.58,1920,1080,Intel,2.7,256.0,0.0,0.0,1480.0
Asus,Ultrabook,15.6,16.0,Windows 10,1.5,1920,1080,Intel,1.8,256.0,1000.0,0.0,1262.0
Dell,Ultrabook,13.3,8.0,Windows 10,1.23,3200,1800,Intel,2.4,256.0,0.0,0.0,1379.0
Lenovo,2 in 1 Convertible,13.3,8.0,Windows 10,1.37,1920,1080,Intel,2.5,256.0,0.0,0.0,1399.0
HP,Notebook,14.0,4.0,Windows 10,1.63,1366,768,Intel,1.6,0.0,500.0,0.0,722.0
Dell,Ultrabook,13.3,8.0,Windows 10,1.21,1920,1080,Intel,1.6,256.0,0.0,0.0,1629.0
HP,2 in 1 Convertible,13.3,8.0,Windows 10,1.26,1920,1080,Intel,1.6,256.0,0.0,0.0,1398.99
HP,Notebook,14.0,8.0,Windows 10,1.63,1920,1080,Intel,1.8,512.0,0.0,0.0,1084.0
